3.82,32.01,10.67,3.09,7.79,11.38,0.77,0.063,1
3.8,31.99,10.66,3.09,7.79,11.12,0.77,0.063,1
3.76,31.89,10.65,3.09,7.78,11.17,0.77,0.063,1
3.78,31.91,10.65,3.09,7.78,11.4,0.77,0.063,1
3.74,31.86,10.62,3.09,7.78,11.31,0.77,0.063,1
3.68,31.81,10.61,3.09,7.77,11.48,0.77,0.063,1
3.67,31.7,10.58,3.09,7.77,11.45,0.77,0.063,1
3.66,31.72,10.6,3.09,7.77,11.61,0.77,0.063,1
3.59,31.84,10.63,3.09,7.77,11.62,0.77,0.063,1
3.45,31.8,10.57,3.09,7.76,11.61,0.77,0.063,1
3.23,31.49,10.49,3.25,7.74,11.57,0.828,0.064,1
3.15,31.28,10.45,3.25,7.74,11.61,0.828,0.064,1
3.21,31.22,10.44,3.25,7.74,11.57,0.828,0.064,1
3.3,31.23,10.45,3.25,7.74,11.56,0.828,0.064,1
3.29,31.35,10.47,3.25,7.74,11.7,0.828,0.064,1
3.16,31.31,10.44,3.25,7.74,11.61,0.828,0.064,1
3.07,31.27,10.43,3.25,7.74,11.72,0.828,0.064,1
2.97,31.25,10.42,3.25,7.74,11.66,0.828,0.064,1
2.88,31.22,10.42,3.25,7.74,11.68,0.828,0.064,1
2.8,31.27,10.42,3.25,7.75,11.63,0.828,0.064,1
2.8,31.33,10.42,3.25,7.75,11.77,0.828,0.064,1
2.79,31.33,10.42,3.25,7.75,11.81,0.828,0.064,1
2.72,31.26,10.43,3.31,7.75,11.6,1.043,0.067,1
2.67,31.36,10.44,3.31,7.75,11.79,1.043,0.067,1
2.66,31.51,10.44,3.31,7.76,11.74,1.043,0.067,1
2.63,31.74,10.48,3.31,7.76,11.73,1.043,0.067,1
2.56,31.74,10.48,3.31,7.75,11.92,1.043,0.067,1
2.43,31.6,10.43,3.31,7.75,11.91,1.043,0.067,1
2.4,31.57,10.41,3.31,7.74,11.82,1.043,0.067,1
2.25,31.43,10.35,3.31,7.73,11.71,1.043,0.067,1
2.12,31.21,10.3,3.31,7.73,11.53,1.043,0.067,1
2.07,31.1,10.28,3.31,7.73,11.26,1.043,0.067,1
2.07,31.21,10.32,3.31,7.73,11.31,1.043,0.067,1
2.05,31.19,10.3,3.31,7.73,11.4,1.043,0.067,1
2.06,31.15,10.29,3.56,7.73,11.5,1.27,0.064,1
2.06,31.18,10.29,3.56,7.72,11.43,1.27,0.064,1
1.93,31.14,10.27,3.56,7.72,11.52,1.27,0.064,1
1.76,30.94,10.23,3.56,7.72,11.57,1.27,0.064,1
1.7,30.79,10.21,3.56,7.71,11.52,1.27,0.064,1
1.61,30.83,10.22,3.56,7.71,11.57,1.27,0.064,1
1.43,30.87,10.22,3.56,7.72,11.57,1.27,0.064,1
1.45,30.88,10.21,3.56,7.72,11.41,1.27,0.064,1
1.38,30.81,10.19,3.56,7.71,11.42,1.27,0.064,1
1.35,30.73,10.17,3.56,7.71,11.33,1.27,0.064,1
1.26,30.72,10.18,3.56,7.71,11.49,1.27,0.064,1
1.19,30.71,10.16,3.56,7.71,11.46,1.27,0.064,1
1.12,30.7,10.17,3.42,7.71,11.5,1.342,0.067,1
1.08,30.75,10.18,3.42,7.71,11.37,1.342,0.067,1
0.98,30.7,10.15,3.42,7.71,11.51,1.342,0.067,1
